plot_id,n_true,n_pred,matched,median_iae,median_ae,fail,dpi,grid,legend,risk_table,censor_marks,degrade,truncate_y,y_min
27,2,2,2,0.11943068608653798,0.11937640260193344,0,80,0,1,0,0,1,0,0.4357350373051507
28,3,2,2,0.10719409030261229,0.10713248250668053,1,200,0,1,0,1,1,1,0.374117480762945
29,3,1,1,0.021987345150144562,0.022000471831932756,1,120,0,0,0,1,1,0,0.40031621937705375
30,3,3,3,0.03605258759300174,0.03605137572819122,0,200,1,1,0,0,0,0,0.32808049249664983
31,2,1,1,0.10146086514986569,0.10144554565977436,1,80,1,0,0,1,1,1,0.2663980094076249
32,1,1,1,0.08815613116881871,0.088070045242991,0,80,0,1,0,1,1,1,0.29440963930751957
33,2,3,2,0.18142378271768939,0.1813174030921909,0,200,0,0,0,1,1,1,0.41010499714377907
34,1,2,1,0.0455314031806328,0.045515223411327806,0,120,1,1,1,1,1,0,0.42604637228312586
35,1,1,1,0.15709699794290158,0.156956067537786,0,200,0,0,1,0,0,1,0.39369591261295966
36,3,3,3,0.03783088341491468,0.03792467915945367,0,80,1,1,1,1,0,0,0.31152114243212664
37,3,3,3,0.12856008217521647,0.12846649941336719,0,80,1,1,0,1,0,1,0.2529728433788412
38,3,1,1,0.06782570446266498,0.06789420968599574,1,80,0,0,0,1,1,0,0.25828632352631986
39,2,2,2,0.023656863425050474,0.02367406388706806,0,80,0,0,0,0,0,0,0.39944010203855107
40,1,1,1,0.05637123557509115,0.05632893507744933,0,80,0,1,0,0,1,0,0.26813677762334404
41,3,3,3,0.13238700925667143,0.13238230340298454,0,120,0,1,0,1,0,1,0.3530513018483601
42,2,2,2,0.01338346659576137,0.01340438371389855,0,200,1,0,0,1,1,0,0.38926684244931337
43,3,2,2,0.01467684947661324,0.014692657901251545,1,200,1,1,1,0,1,0,0.42284963479123233
44,1,1,1,0.0089298555398332,0.008936978526202247,0,200,1,1,1,0,1,0,0.3713639140191937
45,2,2,2,0.025055458355515266,0.025079217485226617,0,200,1,0,0,1,1,0,0.35351611945249134
46,2,2,2,0.040081121234730295,0.04005977510433168,0,120,1,1,0,0,1,0,0.4051968281898833
47,3,2,2,0.1656718966249539,0.1655997035390563,1,80,1,0,1,0,1,1,0.3599965607727167
48,2,2,2,0.11898574424160996,0.11891031948723374,0,200,0,0,0,0,1,1,0.4126882733449692
49,3,1,1,0.052783545596085,0.05278844946577397,1,80,0,1,1,0,1,1,0.39767632933027736
50,3,1,1,0.03663227613410308,0.036857323586612825,1,80,1,1,0,0,1,0,0.33622408413434696
51,2,2,2,0.19226903392218522,0.1922702104243293,0,80,1,0,1,1,1,0,0.3944128938725227
52,1,2,1,0.020185738497850284,0.020224274925534767,0,200,0,1,1,1,0,0,0.2949444178639413
53,2,2,2,0.09859132100402954,0.09853609887594292,0,200,1,1,0,0,1,1,0.26278565029456624
54,1,1,1,0.7575636690068748,0.7573037197945265,0,80,1,1,1,0,0,1,0.257526216962924
55,1,1,1,0.15981840861250118,0.1597071255483406,0,80,1,0,0,0,0,1,0.32236547739532667
56,3,1,1,0.16937272751772492,0.169223746700483,1,80,1,0,0,0,1,1,0.2556828377333338
57,2,2,2,0.10404939115951477,0.10404907153719015,0,120,0,0,0,0,1,1,0.38598268466796093
58,1,2,1,0.12346738862305712,0.12351819449028838,0,200,0,0,1,1,1,1,0.4272631886236715
59,2,2,2,0.18715479235895888,0.187129772944491,0,120,1,0,1,1,1,1,0.40391008651510624
60,2,1,1,0.24708502947255928,0.24706104136608892,1,80,1,0,1,1,1,1,0.3947021300159698
61,1,2,1,0.1234438792751934,0.12344080885437005,0,200,1,0,0,1,1,1,0.3796497052849042
62,3,3,3,0.09285771848254953,0.09286632816804194,0,120,0,1,1,0,0,0,0.2808422957489184
63,2,2,2,0.028920840300597807,0.028941024517196295,0,200,1,0,1,0,1,0,0.42491955068176324
64,1,1,1,0.05188501629573237,0.05191216397101002,0,200,0,1,1,0,1,0,0.37740666065020384
65,3,3,3,0.14998314282817626,0.14989187775492216,0,200,0,0,0,0,0,1,0.38537070459554224
66,1,1,1,0.022968107571182197,0.023042023737647268,0,80,1,0,0,0,0,0,0.42931956437866997
67,2,2,2,0.009728316876584514,0.009741011768365343,0,200,0,1,1,0,0,0,0.357944995918107
68,1,1,1,0.08909776249031512,0.08902469523998138,0,80,0,0,1,0,1,1,0.39645120628751424
69,3,3,3,0.020924991621500678,0.020944062783084968,0,120,0,1,1,1,0,0,0.28505920373032045
70,2,3,2,0.13654751147738964,0.1365656151321769,0,80,1,1,1,1,0,1,0.4156097994076778
71,1,2,1,0.04336660263712326,0.043454558349702896,0,200,1,0,1,1,0,0,0.28739763605005675
